temperatura,data,hora
15.5,2013-06-21,0
14.4,2013-06-21,1
12.8,2013-06-21,2
12.9,2013-06-21,3
11.9,2013-06-21,4
12.2,2013-06-21,5
12,2013-06-21,6
12.4,2013-06-21,7
12.8,2013-06-21,8
12.9,2013-06-21,9
13,2013-06-21,10
13.3,2013-06-21,11
13.6,2013-06-21,12
15.2,2013-06-21,13
20.4,2013-06-21,14
23.6,2013-06-21,15
23.5,2013-06-21,16
23.2,2013-06-21,17
23.3,2013-06-21,18
23.4,2013-06-21,19
22,2013-06-21,20
19.6,2013-06-21,21
18.3,2013-06-21,22
17.6,2013-06-21,23
16.4,2013-06-22,0
15.5,2013-06-22,1
15.5,2013-06-22,2
15.7,2013-06-22,3
15.6,2013-06-22,4
16.5,2013-06-22,5
16.1,2013-06-22,6
16.4,2013-06-22,7
16.6,2013-06-22,8
16.8,2013-06-22,9
16.6,2013-06-22,10
17.6,2013-06-22,11
18.8,2013-06-22,12
21.5,2013-06-22,13
22.6,2013-06-22,14
23.1,2013-06-22,15
23.7,2013-06-22,16
23.8,2013-06-22,17
23.1,2013-06-22,18
22.6,2013-06-22,19
21.5,2013-06-22,20
20.8,2013-06-22,21
19.6,2013-06-22,22
18.1,2013-06-22,23
17.5,2013-06-23,0
17.7,2013-06-23,1
16.1,2013-06-23,2
15.9,2013-06-23,3
15.7,2013-06-23,4
15.5,2013-06-23,5
14.6,2013-06-23,6
13.9,2013-06-23,7
14.2,2013-06-23,8
13.8,2013-06-23,9
13.4,2013-06-23,10
14.1,2013-06-23,11
15.1,2013-06-23,12
17.6,2013-06-23,13
21.8,2013-06-23,14
24,2013-06-23,15
24.5,2013-06-23,16
24.4,2013-06-23,17
23.2,2013-06-23,18
20.4,2013-06-23,19
19.7,2013-06-23,20
18,2013-06-23,21
17.4,2013-06-23,22
16.7,2013-06-23,23
16.6,2013-06-24,0
16.7,2013-06-24,1
16.4,2013-06-24,2
16.3,2013-06-24,3
16.3,2013-06-24,4
16.3,2013-06-24,5
15.6,2013-06-24,6
15.8,2013-06-24,7
15.8,2013-06-24,8
15.8,2013-06-24,9
15.8,2013-06-24,10
16.1,2013-06-24,11
17.3,2013-06-24,12
19.2,2013-06-24,13
19.1,2013-06-24,14
19.1,2013-06-24,15
18.7,2013-06-24,16
19,2013-06-24,17
19.7,2013-06-24,18
19.2,2013-06-24,19
18.4,2013-06-24,20
17.3,2013-06-24,21
16.3,2013-06-24,22
15.6,2013-06-24,23
15.4,2013-06-25,0
15,2013-06-25,1
15.1,2013-06-25,2
15.3,2013-06-25,3
15.1,2013-06-25,4
15.2,2013-06-25,5
15.1,2013-06-25,6
14.7,2013-06-25,7
14.7,2013-06-25,8
14.8,2013-06-25,9
14.9,2013-06-25,10
15.4,2013-06-25,11
17.2,2013-06-25,12
18.6,2013-06-25,13
21.1,2013-06-25,14
21.6,2013-06-25,15
21.9,2013-06-25,16
22,2013-06-25,17
null,2013-06-25,18
null,2013-06-25,19
20.7,2013-06-25,20
18.4,2013-06-25,21
17.6,2013-06-25,22
17.2,2013-06-25,23
16.3,2013-06-26,0
15.6,2013-06-26,1
15.4,2013-06-26,2
15,2013-06-26,3
14.5,2013-06-26,4
13.3,2013-06-26,5
13.2,2013-06-26,6
12.9,2013-06-26,7
12.8,2013-06-26,8
13,2013-06-26,9
12.7,2013-06-26,10
13.1,2013-06-26,11
13.8,2013-06-26,12
18.1,2013-06-26,13
21.6,2013-06-26,14
23.6,2013-06-26,15
24.4,2013-06-26,16
25.2,2013-06-26,17
25.1,2013-06-26,18
24.1,2013-06-26,19
23.6,2013-06-26,20
20.4,2013-06-26,21
19.9,2013-06-26,22
18.7,2013-06-26,23
16.3,2013-06-27,0
15,2013-06-27,1
15.3,2013-06-27,2
14.9,2013-06-27,3
14.3,2013-06-27,4
13.7,2013-06-27,5
13.2,2013-06-27,6
12.9,2013-06-27,7
12.8,2013-06-27,8
12.9,2013-06-27,9
12.6,2013-06-27,10
12.8,2013-06-27,11
13.7,2013-06-27,12
15.9,2013-06-27,13
20.7,2013-06-27,14
23.8,2013-06-27,15
25.4,2013-06-27,16
24.6,2013-06-27,17
25.8,2013-06-27,18
23.9,2013-06-27,19
23.6,2013-06-27,20
22,2013-06-27,21
19.9,2013-06-27,22
19.4,2013-06-27,23
19,2013-06-28,0
18.6,2013-06-28,1
18.4,2013-06-28,2
18.2,2013-06-28,3
17.6,2013-06-28,4
17.1,2013-06-28,5
16.8,2013-06-28,6
16.8,2013-06-28,7
16.4,2013-06-28,8
16.3,2013-06-28,9
16.1,2013-06-28,10
16.5,2013-06-28,11
17,2013-06-28,12
18.1,2013-06-28,13
21,2013-06-28,14
21.6,2013-06-28,15
23.3,2013-06-28,16
25.7,2013-06-28,17
26.6,2013-06-28,18
23.3,2013-06-28,19
21.7,2013-06-28,20
20.4,2013-06-28,21
19.2,2013-06-28,22
18.1,2013-06-28,23
17.6,2013-06-29,0
16.7,2013-06-29,1
16.3,2013-06-29,2
16,2013-06-29,3
15.9,2013-06-29,4
15.3,2013-06-29,5
14.5,2013-06-29,6
14.3,2013-06-29,7
14.7,2013-06-29,8
15,2013-06-29,9
15.4,2013-06-29,10
15.8,2013-06-29,11
16.3,2013-06-29,12
17.8,2013-06-29,13
20.2,2013-06-29,14
23.2,2013-06-29,15
25,2013-06-29,16
24.7,2013-06-29,17
25.5,2013-06-29,18
25.2,2013-06-29,19
