hora,dia,mes,ano,temperatura
0,1,1,2013,22.8
1,1,1,2013,22.1
2,1,1,2013,20.1
3,1,1,2013,19.3
4,1,1,2013,18.8
5,1,1,2013,17.4
6,1,1,2013,17.3
7,1,1,2013,16.1
8,1,1,2013,16.7
9,1,1,2013,16.2
10,1,1,2013,18.0
11,1,1,2013,20.4
12,1,1,2013,24.1
13,1,1,2013,26.0
14,1,1,2013,26.8
15,1,1,2013,28.1
16,1,1,2013,30.1
17,1,1,2013,31.1
18,1,1,2013,30.5
19,1,1,2013,30.8
20,1,1,2013,30.7
21,1,1,2013,29.1
22,1,1,2013,26.7
23,1,1,2013,24.8
0,2,1,2013,23.3
1,2,1,2013,22.5
2,2,1,2013,21.3
3,2,1,2013,21.2
4,2,1,2013,20.7
5,2,1,2013,19.5
6,2,1,2013,19.2
7,2,1,2013,18.9
8,2,1,2013,18.9
9,2,1,2013,19.1
10,2,1,2013,20.5
11,2,1,2013,22.6
12,2,1,2013,23.9
13,2,1,2013,26.5
14,2,1,2013,27.5
15,2,1,2013,28.3
16,2,1,2013,29.8
17,2,1,2013,29.7
18,2,1,2013,29.2
19,2,1,2013,28.7
20,2,1,2013,28.4
21,2,1,2013,27.0
22,2,1,2013,26.1
23,2,1,2013,23.3
0,3,1,2013,22.8
1,3,1,2013,22.3
2,3,1,2013,21.9
3,3,1,2013,21.1
4,3,1,2013,21.5
5,3,1,2013,21.1
6,3,1,2013,21.0
7,3,1,2013,20.8
8,3,1,2013,21.1
9,3,1,2013,20.7
10,3,1,2013,21.4
11,3,1,2013,22.9
12,3,1,2013,24.3
13,3,1,2013,26.1
14,3,1,2013,26.0
15,3,1,2013,26.8
16,3,1,2013,25.3
17,3,1,2013,24.8
18,3,1,2013,25.1
19,3,1,2013,27.4
20,3,1,2013,24.6
21,3,1,2013,22.0
22,3,1,2013,21.0
23,3,1,2013,20.9
0,4,1,2013,21.0
1,4,1,2013,20.2
2,4,1,2013,19.8
3,4,1,2013,19.8
4,4,1,2013,19.8
5,4,1,2013,19.7
6,4,1,2013,19.2
7,4,1,2013,19.2
8,4,1,2013,19.3
9,4,1,2013,19.6
10,4,1,2013,20.3
11,4,1,2013,23.3
12,4,1,2013,24.3
13,4,1,2013,24.8
14,4,1,2013,25.8
15,4,1,2013,27.3
16,4,1,2013,27.5
17,4,1,2013,27.7
18,4,1,2013,27.9
19,4,1,2013,23.8
20,4,1,2013,17.4
21,4,1,2013,18.3
22,4,1,2013,18.7
23,4,1,2013,18.8
0,5,1,2013,19.6
1,5,1,2013,19.6
2,5,1,2013,20.2
3,5,1,2013,19.7
4,5,1,2013,19.8
5,5,1,2013,19.1
6,5,1,2013,19.2
7,5,1,2013,19.2
8,5,1,2013,18.9
9,5,1,2013,18.9
10,5,1,2013,19.8
11,5,1,2013,20.8
12,5,1,2013,22.1
13,5,1,2013,23.0
14,5,1,2013,24.2
15,5,1,2013,26.2
16,5,1,2013,27.3
17,5,1,2013,27.6
18,5,1,2013,29.1
19,5,1,2013,27.9
20,5,1,2013,28.2
21,5,1,2013,26.6
22,5,1,2013,24.8
23,5,1,2013,23.7
0,6,1,2013,23.5
1,6,1,2013,21.8
2,6,1,2013,21.4
3,6,1,2013,20.7
4,6,1,2013,20.5
5,6,1,2013,19.6
6,6,1,2013,18.7
7,6,1,2013,18.2
8,6,1,2013,17.9
9,6,1,2013,18.3
10,6,1,2013,20.6
11,6,1,2013,22.8
12,6,1,2013,25.6
13,6,1,2013,27.5
14,6,1,2013,28.1
15,6,1,2013,29.7
16,6,1,2013,29.5
17,6,1,2013,30.1
18,6,1,2013,30.6
19,6,1,2013,30.4
20,6,1,2013,30.4
21,6,1,2013,25.4
22,6,1,2013,23.4
23,6,1,2013,23.1
0,7,1,2013,22.9
1,7,1,2013,21.8
2,7,1,2013,21.0
3,7,1,2013,20.6
4,7,1,2013,19.6
5,7,1,2013,19.0
6,7,1,2013,19.2
7,7,1,2013,18.4
8,7,1,2013,18.2
9,7,1,2013,18.1
